well,elapsed,buildup,buildup(m)
PW-1,0,0,0
PW-1,240,0.63,0.19201463
PW-1,360.00,1.39,0.423651326
PW-1,420.00,1.04,0.316976532
PW-1,540.00,1.21,0.368790003
PW-1,660.00,1.28,0.390124962
PW-1,900.00,1.4,0.426699177
PW-1,1080,1.5,0.45717769
PW-1,1320,1.55,0.472416946
PW-1,1620,1.63,0.496799756
PW-1,2040,1.67,0.508991161
PW-1,2400,1.72,0.524230418
PW-1,3000,1.77,0.539469674
PW-1,3360,1.8,0.548613228
PW-1,3780,1.83,0.557756781
