well,elapsed,buildup,buildup(m)
PMW-14,"2,429.00",0.70866144,0.215989467
PMW-14,"2,449.00",0.72014438,0.219489296
PMW-14,"2,469.00",0.70866144,0.215989467
PMW-14,"2,489.00",0.71440291,0.217739381
PMW-14,"2,509.00",0.71443845,0.217750213
PMW-14,"2,529.00",0.72023461,0.219516797
PMW-14,"2,549.00",0.72028929,0.219533462
PMW-14,"2,569.00",0.72034397,0.219550128
PMW-14,"2,589.00",0.73106138,0.222816635
PMW-14,"2,609.00",0.72537459,0.221083386
PMW-14,"2,629.00",0.73117074,0.222849966
PMW-14,"2,649.00",0.74270836,0.226366461
PMW-14,"2,669.00",0.74850451,0.228133042
PMW-14,"2,689.00",0.74281772,0.226399793
PMW-14,"2,709.00",0.74861387,0.228166373
PMW-14,"2,729.00",0.74866855,0.228183039
PMW-14,"2,749.00",0.74872323,0.228199704
PMW-14,"2,769.00",0.75451938,0.229966285
PMW-14,"2,789.00",0.75457406,0.22998295
PMW-14,"2,809.00",0.75487754,0.230075447
PMW-14,"2,829.00",0.76105646,0.231958689
PMW-14,"2,849.00",0.76641516,0.233591941
PMW-14,"2,869.00",0.76685261,0.23372527
PMW-14,"2,889.00",0.77303152,0.23560851
PMW-14,"2,909.00",0.77346897,0.235741838
PMW-14,"2,929.00",0.77964788,0.237625078
PMW-14,"2,949.00",0.78008533,0.237758406
PMW-14,"2,969.00",0.78626424,0.239641646
PMW-14,"2,989.00",0.78670169,0.239774974
PMW-14,"3,009.00",0.78139767,0.238158388
PMW-14,"3,029.00",0.78183511,0.238291713
PMW-14,"3,049.00",0.78801403,0.240174956
PMW-14,"3,069.00",0.79993441,0.24380811
PMW-14,"3,089.00",0.80529312,0.245441365
PMW-14,"3,109.00",0.81118769,0.247237943
PMW-14,"3,129.00",0.80544622,0.245488028
PMW-14,"3,149.00",0.80052496,0.243988101
PMW-14,"3,169.00",0.80544622,0.245488028
PMW-14,"3,189.00",0.80544622,0.245488028
PMW-14,"3,209.00",0.81118769,0.247237943
PMW-14,"3,229.00",0.82267063,0.250737772
PMW-14,"3,249.00",0.82267063,0.250737772
PMW-14,"3,269.00",0.82267063,0.250737772
PMW-14,"3,289.00",0.81692916,0.248987857
PMW-14,"3,309.00",0.82267063,0.250737772
PMW-14,"3,329.00",0.82267063,0.250737772
PMW-14,"3,349.00",0.8284121,0.252487687
PMW-14,"3,369.00",0.8284121,0.252487687
PMW-14,"3,389.00",0.8284121,0.252487687
PMW-14,"3,409.00",0.83415357,0.254237601
PMW-14,"3,429.00",0.83907483,0.255737528
PMW-14,"3,449.00",0.8448163,0.257487443
PMW-14,"3,469.00",0.8448163,0.257487443
PMW-14,"3,489.00",0.85629924,0.260987272
PMW-14,"3,509.00",0.85629924,0.260987272
PMW-14,"3,529.00",0.85055777,0.259237358
PMW-14,"3,549.00",0.85055777,0.259237358
PMW-14,"3,569.00",0.85055777,0.259237358
PMW-14,"3,589.00",0.85629924,0.260987272
PMW-14,"3,609.00",0.85629924,0.260987272
PMW-14,"3,629.00",0.85629924,0.260987272
PMW-14,"3,649.00",0.85629924,0.260987272
PMW-14,"3,669.00",0.86204071,0.262737187
PMW-14,"3,689.00",0.85629924,0.260987272
PMW-14,"3,709.00",0.86810206,0.264584596
PMW-14,"3,729.00",0.86859419,0.26473459
PMW-14,"3,749.00",0.86908632,0.264884584
PMW-14,"3,769.00",0.86957844,0.265034575
