well,elapsed,buildup,buildup(m)
PZ-1,0,0,0
PZ-1,20,0,0
PZ-1,40,0,0
PZ-1,60,0,0
PZ-1,80,0.00574147,0.001749915
PZ-1,100,0.01923666,0.005863048
PZ-1,120,0.03121173,0.009512871
PZ-1,140,0.04318679,0.013162691
PZ-1,160,0.05516186,0.016812514
PZ-1,180,0.0652231,0.019879031
PZ-1,200,0.07337052,0.022362243
PZ-1,220,0.08151794,0.024845456
PZ-1,240,0.08966536,0.027328668
PZ-1,260,0.1073819,0.032728406
PZ-1,280,0.1059602,0.032295093
PZ-1,300,0.11984909,0.03652822
PZ-1,320,0.12799651,0.039011432
PZ-1,340,0.1342301,0.040911338
PZ-1,360,0.1404637,0.042811247
PZ-1,380,0.15052494,0.045877763
PZ-1,400,0.15273404,0.046551064
PZ-1,420,0.15798338,0.048150984
PZ-1,440,0.16131891,0.049167604
PZ-1,460,0.1627406,0.049600914
PZ-1,480,0.17947289,0.054700667
PZ-1,500,0.17323929,0.052800759
PZ-1,520,0.18997157,0.057900509
PZ-1,540,0.18947945,0.057750518
PZ-1,560,0.20047026,0.061100354
PZ-1,580,0.20571961,0.062700277
PZ-1,600,0.21288277,0.064883502
PZ-1,620,0.21813212,0.066483426
PZ-1,640,0.21763999,0.066333432
PZ-1,660,0.22288934,0.067933356
PZ-1,680,0.22239721,0.067783362
PZ-1,700,0.23157263,0.070579893
PZ-1,720,0.2373141,0.072329808
PZ-1,740,0.2373141,0.072329808
PZ-1,760,0.25071086,0.076412941
PZ-1,780,0.25071086,0.076412941
PZ-1,800,0.25645233,0.078162856
PZ-1,820,0.2621938,0.07991277
PZ-1,840,0.26793527,0.081662685
PZ-1,860,0.26793527,0.081662685
PZ-1,880,0.27941821,0.085162514
PZ-1,900,0.27941821,0.085162514
PZ-1,920,0.28515968,0.086912429
PZ-1,940,0.28324586,0.086329125
PZ-1,960,0.28898733,0.08807904
PZ-1,980,0.2947288,0.089828955
PZ-1,"1,000.00",0.2947288,0.089828955
PZ-1,"1,020.00",0.2947288,0.089828955
PZ-1,"1,040.00",0.30047027,0.091578869
PZ-1,"1,060.00",0.30621174,0.093328784
PZ-1,"1,080.00",0.31195321,0.095078699
PZ-1,"1,100.00",0.30621174,0.093328784
PZ-1,"1,120.00",0.30621174,0.093328784
PZ-1,"1,140.00",0.30812556,0.093912088
PZ-1,"1,160.00",0.3196085,0.097411917
PZ-1,"1,180.00",0.31386703,0.095662002
PZ-1,"1,200.00",0.3196085,0.097411917
PZ-1,"1,220.00",0.3196085,0.097411917
PZ-1,"1,240.00",0.32534997,0.099161832
PZ-1,"1,260.00",0.33109144,0.100911746
PZ-1,"1,280.00",0.33683291,0.102661661
PZ-1,"1,300.00",0.33683291,0.102661661
PZ-1,"1,320.00",0.34831585,0.10616149
PZ-1,"1,340.00",0.34257438,0.104411576
PZ-1,"1,360.00",0.35405732,0.107911405
PZ-1,"1,380.00",0.35979879,0.10966132
PZ-1,"1,400.00",0.3770232,0.114911064
PZ-1,"1,420.00",0.4019029,0.122494026
PZ-1,"1,440.00",0.42486878,0.129493685
PZ-1,"1,460.00",0.47080054,0.143493002
PZ-1,"1,480.00",0.50524936,0.15399249
PZ-1,"1,500.00",0.52247377,0.159242234
PZ-1,"1,520.00",0.53395671,0.162742063
PZ-1,"1,540.00",0.53395671,0.162742063
PZ-1,"1,560.00",0.58562994,0.178491295
PZ-1,"1,580.00",0.67366582,0.205323322
PZ-1,"1,600.00",0.74064963,0.225738991
PZ-1,"1,620.00",0.8114611,0.247321274
PZ-1,"1,640.00",0.85356521,0.26015398
PZ-1,"1,660.00",0.88227256,0.268903554
PZ-1,"1,680.00",0.89949697,0.274153298
PZ-1,"1,700.00",0.8937555,0.272403383
PZ-1,"1,720.00",0.85739286,0.261320591
PZ-1,"1,740.00",0.84782374,0.258404066
PZ-1,"1,760.00",0.88227256,0.268903554
PZ-1,"1,780.00",0.92820432,0.282902871
PZ-1,"1,800.00",0.96265314,0.293402359
PZ-1,"1,820.00",0.98561902,0.300402018
PZ-1,"1,840.00",0.97030843,0.295735578
PZ-1,"1,860.00",0.9186352,0.279986346
PZ-1,"1,880.00",0.90906609,0.277069823
PZ-1,"1,900.00",0.93213039,0.284099479
PZ-1,"1,920.00",0.96898516,0.295332265
PZ-1,"1,940.00",0.98861552,0.301315306
PZ-1,"1,960.00",0.94700353,0.288632591
PZ-1,"1,980.00",0.91496066,0.2788664
PZ-1,"2,000.00",0.90205602,0.274933258
PZ-1,"2,020.00",0.89680668,0.273333337
PZ-1,"2,040.00",0.8800744,0.268233587
PZ-1,"2,060.00",0.86334211,0.263133834
PZ-1,"2,080.00",0.84660983,0.258034084
PZ-1,"2,100.00",0.83370519,0.254100942
PZ-1,"2,120.00",0.82271438,0.250751106
PZ-1,"2,140.00",0.81937886,0.249734489
PZ-1,"2,160.00",0.80264657,0.244634736
