well,elapsed,buildup,buildup(m)
PZ-1,0,0,0
PZ-1,20,0.00530402,0.001616586
PZ-1,40,-0.00087489,-0.000266653
PZ-1,60,-0.00131234,-0.000399982
PZ-1,80,-0.00174978,-0.000533307
PZ-1,100,-0.00191382,-0.000583304
PZ-1,120,-0.00098425,-0.000299985
PZ-1,140,-0.00005468,-1.67E-05
PZ-1,160,0.00087489,0.000266653
PZ-1,180,0.00754593,0.002299887
PZ-1,200,0.00273403,0.000833292
PZ-1,220,0.00940507,0.002866525
PZ-1,240,0.00459318,0.001399933
PZ-1,260,0.01126422,0.003433167
PZ-1,280,0.01219379,0.003716486
PZ-1,300,0.01312336,0.003999805
PZ-1,320,0.01405293,0.004283124
PZ-1,340,0.02072397,0.006316358
PZ-1,360,0.02165354,0.006599677
PZ-1,380,0.02258312,0.006882999
PZ-1,400,0.02322835,0.007079656
PZ-1,420,0.01699475,0.005179747
PZ-1,440,0.01650263,0.005029756
PZ-1,460,0.02175197,0.006629677
PZ-1,480,0.03274278,0.009979512
PZ-1,500,0.03990595,0.01216274
PZ-1,520,0.03941382,0.012012746
PZ-1,540,0.0389217,0.011862755
PZ-1,560,0.04225722,0.012879372
PZ-1,580,0.04176509,0.012729378
PZ-1,600,0.04127297,0.012579387
PZ-1,620,0.04652231,0.014179308
PZ-1,640,0.04794401,0.014612621
PZ-1,660,0.05319335,0.016212542
PZ-1,680,0.05270123,0.016062551
PZ-1,700,0.04647857,0.014165977
PZ-1,720,0.04604112,0.014032649
PZ-1,740,0.05517279,0.016815846
PZ-1,760,0.05473535,0.016682521
PZ-1,780,0.05621173,0.017132499
PZ-1,800,0.05577428,0.016999171
PZ-1,820,0.05342301,0.016282539
PZ-1,840,0.05872704,0.017899128
PZ-1,860,0.05828959,0.0177658
PZ-1,880,0.05976597,0.018215779
PZ-1,900,0.05932852,0.01808245
PZ-1,920,0.05889108,0.017949125
PZ-1,940,0.06228128,0.018982408
PZ-1,960,0.0675853,0.020598994
PZ-1,980,0.06714786,0.020465669
PZ-1,"1,000.00",0.06688539,0.020385672
PZ-1,"1,020.00",0.07306431,0.022268915
PZ-1,"1,040.00",0.07350175,0.02240224
PZ-1,"1,060.00",0.07011155,0.021368958
PZ-1,"1,080.00",0.070549,0.021502286
PZ-1,"1,100.00",0.07098644,0.021635611
PZ-1,"1,120.00",0.07716536,0.023518854
PZ-1,"1,140.00",0.08143045,0.02481879
PZ-1,"1,160.00",0.07612642,0.023202201
PZ-1,"1,180.00",0.08230534,0.025085443
PZ-1,"1,200.00",0.07891514,0.024052161
PZ-1,"1,220.00",0.07935258,0.024185486
PZ-1,"1,240.00",0.08935915,0.02723534
PZ-1,"1,260.00",0.08405512,0.02561875
PZ-1,"1,280.00",0.09214786,0.028085297
PZ-1,"1,300.00",0.09259624,0.028221957
PZ-1,"1,320.00",0.09882984,0.030121865
PZ-1,"1,340.00",0.09932196,0.030271856
PZ-1,"1,360.00",0.09981409,0.03042185
PZ-1,"1,380.00",0.10604769,0.032321759
PZ-1,"1,400.00",0.10653981,0.032471749
PZ-1,"1,420.00",0.10703194,0.032621743
PZ-1,"1,440.00",0.11326553,0.034521649
PZ-1,"1,460.00",0.11375766,0.034671643
PZ-1,"1,480.00",0.10659449,0.032488415
PZ-1,"1,500.00",0.10708662,0.032638409
PZ-1,"1,520.00",0.11332021,0.034538315
PZ-1,"1,540.00",0.11381234,0.034688308
PZ-1,"1,560.00",0.11813211,0.03600491
PZ-1,"1,580.00",0.11862424,0.036154904
PZ-1,"1,600.00",0.12093176,0.036858202
PZ-1,"1,620.00",0.12475941,0.038024813
PZ-1,"1,640.00",0.12475941,0.038024813
PZ-1,"1,660.00",0.12475941,0.038024813
PZ-1,"1,680.00",0.12475941,0.038024813
PZ-1,"1,700.00",0.12475941,0.038024813
PZ-1,"1,720.00",0.12475941,0.038024813
PZ-1,"1,740.00",0.1324147,0.040358031
PZ-1,"1,760.00",0.12667323,0.038608116
PZ-1,"1,780.00",0.13432853,0.040941338
PZ-1,"1,800.00",0.13815617,0.042107946
PZ-1,"1,820.00",0.13624235,0.041524642
PZ-1,"1,840.00",0.13624235,0.041524642
PZ-1,"1,860.00",0.13624235,0.041524642
