well,elapsed,buildup,buildup(m)
PMW-3,0,0,0
PMW-3,20,0.40764437,0.124243941
PMW-3,40,4.04199488,1.231939921
PMW-3,60,4.3137578,1.314769217
PMW-3,80,4.57786542,1.395265291
PMW-3,100,4.71940085,1.438403185
PMW-3,120,5.0136922,1.528098811
PMW-3,140,5.17784356,1.578129704
PMW-3,160,5.28075258,1.609494843
PMW-3,180,5.35878189,1.633277016
PMW-3,200,5.43298355,1.655892578
PMW-3,220,5.43063229,1.655175949
PMW-3,240,5.47038513,1.667292024
PMW-3,260,5.50631033,1.67824149
PMW-3,280,5.46185495,1.664692152
PMW-3,300,5.19539606,1.583479445
PMW-3,320,5.48203211,1.67084185
PMW-3,340,5.5581476,1.694040719
PMW-3,360,5.5366581,1.687491039
PMW-3,380,5.52473771,1.683857882
PMW-3,400,5.53222896,1.686141103
PMW-3,420,5.59440088,1.70509018
PMW-3,440,5.59724428,1.705956806
PMW-3,460,5.6192259,1.712656477
PMW-3,480,5.68713929,1.733355468
PMW-3,500,5.85074385,1.783219704
PMW-3,520,6.05836634,1.846499951
PMW-3,540,5.99805356,1.828117513
PMW-3,560,6.05639783,1.845899979
PMW-3,580,5.96546389,1.818184666
PMW-3,600,5.93385846,1.808551801
PMW-3,620,5.94244333,1.811168342
PMW-3,640,5.89744114,1.797452344
PMW-3,660,6.23903126,1.901563932
PMW-3,680,6.26292671,1.908846909
PMW-3,700,6.30768831,1.922489579
PMW-3,720,6.36510301,1.939988726
PMW-3,740,6.44165594,1.96332092
PMW-3,760,6.58710651,2.007652091
PMW-3,780,6.33448183,1.930655846
PMW-3,800,6.42443153,1.958071176
PMW-3,820,6.38615506,1.946405078
PMW-3,840,6.430173,1.959821091
PMW-3,860,6.4550527,1.967404054
PMW-3,880,6.45696653,1.967987361
PMW-3,900,6.44356976,1.963904224
PMW-3,920,6.52203652,1.987819726
PMW-3,940,6.44548359,1.964487531
PMW-3,960,6.37084448,1.941738641
PMW-3,980,6.5124674,1.9849032
PMW-3,"1,000.00",6.54873162,1.995955995
PMW-3,"1,020.00",6.61522331,2.016221673
PMW-3,"1,040.00",6.681715,2.036487351
PMW-3,"1,060.00",6.77117257,2.063752688
PMW-3,"1,080.00",6.75345604,2.058352953
PMW-3,"1,100.00",6.83334449,2.082701765
PMW-3,"1,120.00",6.90557765,2.104717358
PMW-3,"1,140.00",6.96441405,2.122649817
PMW-3,"1,160.00",7.00985368,2.136499141
PMW-3,"1,180.00",7.01893067,2.139265672
PMW-3,"1,200.00",7.04140443,2.14611534
PMW-3,"1,220.00",7.08301642,2.158798055
PMW-3,"1,240.00",7.09592105,2.162731195
PMW-3,"1,260.00",7.15667127,2.181246958
PMW-3,"1,280.00",7.14278238,2.177013831
PMW-3,"1,300.00",7.16162534,2.182756885
PMW-3,"1,320.00",7.18699717,2.190489842
PMW-3,"1,340.00",7.212369,2.198222798
PMW-3,"1,360.00",7.18032613,2.188456608
PMW-3,"1,380.00",7.18273208,2.189189906
PMW-3,"1,400.00",7.20236244,2.195172947
PMW-3,"1,420.00",7.26218309,2.213405392
PMW-3,"1,440.00",7.24927845,2.209472249
PMW-3,"1,460.00",7.25933969,2.212538766
PMW-3,"1,480.00",7.31916034,2.23077121
PMW-3,"1,500.00",7.33304923,2.235004337
PMW-3,"1,520.00",7.34885194,2.239820768
PMW-3,"1,540.00",7.36082701,2.243470591
PMW-3,"1,560.00",7.25797268,2.212122121
PMW-3,"1,580.00",7.14172158,2.176690515
PMW-3,"1,600.00",6.98135412,2.127812899
PMW-3,"1,620.00",6.92968089,2.112063667
PMW-3,"1,640.00",6.9794403,2.127229595
PMW-3,"1,660.00",7.00623382,2.135395861
PMW-3,"1,680.00",7.07704529,2.156978144
PMW-3,"1,700.00",7.11723558,2.169227546
PMW-3,"1,720.00",7.1765641,2.187309997
PMW-3,"1,740.00",7.03111353,2.142978827
PMW-3,"1,760.00",6.98135412,2.127812899
PMW-3,"1,780.00",6.99857853,2.133062642
PMW-3,"1,800.00",7.00432,2.134812557
PMW-3,"1,820.00",7.04451029,2.14706196
PMW-3,"1,840.00",7.05982088,2.1517284
PMW-3,"1,860.00",7.10766646,2.166311021
PMW-3,"1,880.00",7.17465028,2.186726693
PMW-3,"1,900.00",7.21475308,2.19894943
PMW-3,"1,920.00",7.23919534,2.206399067
PMW-3,"1,940.00",7.24258554,2.20743235
PMW-3,"1,960.00",7.23832044,2.206132411
PMW-3,"1,980.00",7.2952977,2.223498232
PMW-3,"2,000.00",7.28720496,2.221031685
PMW-3,"2,020.00",7.28102605,2.219148446
PMW-3,"2,040.00",7.31120977,2.228347995
PMW-3,"2,060.00",7.28780645,2.221215011
PMW-3,"2,080.00",7.30459341,2.226331426
PMW-3,"2,100.00",7.30989744,2.227948016
PMW-3,"2,120.00",7.36878852,2.245897141
PMW-3,"2,140.00",7.35112666,2.240514069
PMW-3,"2,160.00",7.40810391,2.257879887
PMW-3,"2,180.00",7.43828764,2.267079439
PMW-3,"2,200.00",7.42080077,2.261749701
PMW-3,"2,220.00",7.40784145,2.257799893
PMW-3,"2,240.00",7.45229683,2.271349232
PMW-3,"2,260.00",7.44125134,2.267982731
PMW-3,"2,280.00",7.48187907,2.280365459
PMW-3,"2,300.00",7.39428064,2.25366676
PMW-3,"2,320.00",7.38897662,2.252050174
PMW-3,"2,340.00",7.32817172,2.233517745
PMW-3,"2,360.00",7.18890006,2.191069814
PMW-3,"2,380.00",7.37880601,2.248950323
PMW-3,"2,400.00",7.38115728,2.249666955
PMW-3,"2,420.00",7.39116384,2.252716806
PMW-3,"2,440.00",7.37246306,2.247017086
PMW-3,"2,460.00",7.39395256,2.253566766
PMW-3,"2,480.00",7.34845824,2.239700774
PMW-3,"2,500.00",7.32775614,2.233391082
PMW-3,"2,520.00",7.3813432,2.249723621
PMW-3,"2,540.00",7.38899849,2.252056839
PMW-3,"2,560.00",7.40239525,2.256139973
PMW-3,"2,580.00",7.39856761,2.254973365
PMW-3,"2,600.00",7.36794643,2.245640485
PMW-3,"2,620.00",7.09618352,2.162811192
PMW-3,"2,640.00",7.05790705,2.151145093
PMW-3,"2,660.00",7.09044205,2.161061277
PMW-3,"2,680.00",7.06938999,2.154644922
PMW-3,"2,700.00",7.06364852,2.152895008
PMW-3,"2,720.00",7.08278676,2.158728059
PMW-3,"2,740.00",7.12680469,2.172144069
PMW-3,"2,760.00",7.16125351,2.182643557
PMW-3,"2,780.00",7.17465028,2.186726693
PMW-3,"2,800.00",7.18613322,2.190226522
PMW-3,"2,820.00",7.15359822,2.180310338
PMW-3,"2,840.00",7.21866821,2.200142703
PMW-3,"2,860.00",7.21101292,2.197809485
PMW-3,"2,880.00",7.2588585,2.212392106
PMW-3,"2,900.00",7.27799674,2.218225157
PMW-3,"2,920.00",7.27991056,2.218808461
PMW-3,"2,940.00",7.27608291,2.21764185
PMW-3,"2,960.00",7.28947968,2.221724986
PMW-3,"2,980.00",7.28373821,2.219975072
PMW-3,"3,000.00",7.25311703,2.210642191
PMW-3,"3,020.00",7.2913935,2.22230829
PMW-3,"3,040.00",7.2588585,2.212392106
PMW-3,"3,060.00",7.25311703,2.210642191
PMW-3,"3,080.00",7.22058204,2.20072601
PMW-3,"3,100.00",7.14011397,2.176200539
PMW-3,"3,120.00",6.9903983,2.13056943
PMW-3,"3,140.00",6.97273645,2.125186361
PMW-3,"3,160.00",7.05076576,2.148968534
PMW-3,"3,180.00",7.04267302,2.146501987
PMW-3,"3,200.00",7.03075263,2.14286883
PMW-3,"3,220.00",7.04945342,2.148568552
PMW-3,"3,240.00",7.01648098,2.138519043
PMW-3,"3,260.00",7.04092324,2.14596868
PMW-3,"3,280.00",7.0328305,2.143502133
PMW-3,"3,300.00",7.08598011,2.159701344
PMW-3,"3,320.00",7.1295606,2.172984029
PMW-3,"3,340.00",7.16357197,2.183350189
PMW-3,"3,360.00",7.17653129,2.187299997
PMW-3,"3,380.00",7.18757679,2.190666501
PMW-3,"3,400.00",7.16243462,2.183003542
PMW-3,"3,420.00",7.22028676,2.200636013
PMW-3,"3,440.00",7.09249804,2.161687912
PMW-3,"3,460.00",6.94748492,2.11749007
PMW-3,"3,480.00",7.12208028,2.170704139
PMW-3,"3,500.00",7.14356979,2.177253822
PMW-3,"3,520.00",7.1822837,2.189053246
PMW-3,"3,540.00",7.2037732,2.195602926
PMW-3,"3,560.00",7.2252627,2.202152606
PMW-3,"3,580.00",7.26971808,2.215701945
PMW-3,"3,600.00",7.24144818,2.207085699
PMW-3,"3,620.00",7.28207591,2.219468427
PMW-3,"3,640.00",7.2691166,2.215518622
PMW-3,"3,660.00",7.2906061,2.222068302
PMW-3,"3,680.00",7.27573296,2.21753519
PMW-3,"3,700.00",7.27982307,2.218781795
PMW-3,"3,720.00",7.26598886,2.214565334
PMW-3,"3,740.00",7.27129289,2.216181923
PMW-3,"3,760.00",7.32061485,2.231214523
PMW-3,"3,780.00",7.32209123,2.231664502
PMW-3,"3,800.00",7.37141319,2.246697101
PMW-3,"3,820.00",7.32121634,2.231397848
PMW-3,"3,840.00",7.33417565,2.235347653
PMW-3,"3,860.00",7.32608291,2.232881106
PMW-3,"3,880.00",7.32373165,2.232164477
PMW-3,"3,900.00",7.31946655,2.230864538
PMW-3,"3,920.00",7.30371852,2.226064773
PMW-3,"3,940.00",7.26691843,2.214848653
PMW-3,"3,960.00",7.32580951,2.232797778
PMW-3,"3,980.00",7.32154442,2.231497842
PMW-3,"4,000.00",7.407404,2.257666565
PMW-3,"4,020.00",7.32937469,2.233884392
PMW-3,"4,040.00",7.3106739,2.228184669
PMW-3,"4,060.00",7.34556017,2.238817486
PMW-3,"4,080.00",7.34599761,2.238950811
PMW-3,"4,100.00",7.36365947,2.244333883
PMW-3,"4,120.00",7.37557985,2.247967037
PMW-3,"4,140.00",7.38941406,2.252183499
PMW-3,"4,160.00",7.36114416,2.243567254
PMW-3,"4,180.00",7.39794425,2.254783374
PMW-3,"4,200.00",7.39838169,2.254916699
PMW-3,"4,220.00",7.41987119,2.261466379
PMW-3,"4,240.00",7.36863541,2.245850475
PMW-3,"4,260.00",7.37481433,2.247733718
PMW-3,"4,280.00",7.3369753,2.236200945
PMW-3,"4,300.00",7.31445781,2.229337949
PMW-3,"4,320.00",7.15993024,2.182240244
PMW-3,"4,340.00",7.33266647,2.234887678
PMW-3,"4,360.00",7.39440094,2.253703426
PMW-3,"4,380.00",7.39680689,2.254436724
PMW-3,"4,400.00",7.35902255,2.242920619
PMW-3,"4,420.00",7.35760085,2.242487306
PMW-3,"4,440.00",7.33129945,2.23447103
PMW-3,"4,460.00",7.19782394,2.19378968
PMW-3,"4,480.00",7.20597136,2.196272892
PMW-3,"4,500.00",7.2485676,2.209255593
PMW-3,"4,520.00",7.24905973,2.209405587
PMW-3,"4,540.00",7.32801861,2.233471079
PMW-3,"4,560.00",7.17540487,2.186956681
PMW-3,"4,580.00",7.18163847,2.188856589
PMW-3,"4,600.00",7.1686354,2.184893447
PMW-3,"4,620.00",7.21265334,2.198309461
PMW-3,"4,640.00",7.23179157,2.204142508
PMW-3,"4,660.00",7.26432657,2.214058692
PMW-3,"4,680.00",7.1686354,2.184893447
PMW-3,"4,700.00",7.18777364,2.190726498
PMW-3,"4,720.00",7.15141099,2.179643703
PMW-3,"4,740.00",7.18011834,2.188393276
PMW-3,"4,760.00",7.22030863,2.200642679
PMW-3,"4,780.00",7.2585851,2.212308778
PMW-3,"4,800.00",7.19542893,2.193059717
PMW-3,"4,820.00",7.18968746,2.191309802
PMW-3,"4,840.00",7.22030863,2.200642679
PMW-3,"4,860.00",7.24710216,2.208808948
PMW-3,"4,880.00",7.25284363,2.210558863
PMW-3,"4,900.00",7.25848667,2.212278778
PMW-3,"4,920.00",7.29052955,2.222044971
PMW-3,"4,940.00",7.29195124,2.222478281
PMW-3,"4,960.00",7.32016647,2.231077863
PMW-3,"4,980.00",7.32924346,2.233844395
PMW-3,"5,000.00",7.32109604,2.231361183
PMW-3,"5,020.00",7.32825921,2.23354441
PMW-3,"5,040.00",7.33350855,2.235144331
PMW-3,"5,060.00",7.32153348,2.231494508
PMW-3,"5,080.00",7.32104136,2.231344517
PMW-3,"5,100.00",7.33394599,2.235277656
PMW-3,"5,120.00",7.3851271,2.250876897
PMW-3,"5,140.00",7.36166909,2.243727245
PMW-3,"5,160.00",7.3803152,2.249410302
PMW-3,"5,180.00",7.4314963,2.26500954
PMW-3,"5,200.00",7.37570015,2.248003703
PMW-3,"5,220.00",7.15036112,2.179323718
PMW-3,"5,240.00",7.3192697,2.230804541
PMW-3,"5,260.00",7.31784801,2.230371231
PMW-3,"5,280.00",7.37001336,2.246270454
PMW-3,"5,300.00",7.32074608,2.23125452
PMW-3,"5,320.00",7.33272115,2.234904343
PMW-3,"5,340.00",7.35426533,2.241470689
PMW-3,"5,360.00",7.37963716,2.249203645
PMW-3,"5,380.00",7.68251337,2.341515809
PMW-3,"5,400.00",7.54138257,2.29850124
