well,elapsed,buildup,buildup(m)
PZ-1,0,0,0
PZ-1,20,0.0076553,0.002333222
PZ-1,40,0.0076553,0.002333222
PZ-1,60,0.0076553,0.002333222
PZ-1,80,0.0076553,0.002333222
PZ-1,100,0.00756781,0.002306556
PZ-1,120,0.00713036,0.002173228
PZ-1,140,0.00669292,0.002039902
PZ-1,160,0.00625547,0.001906574
PZ-1,180,0.0115595,0.003523164
PZ-1,200,0.01112205,0.003389835
PZ-1,220,0.00494313,0.001506593
PZ-1,240,0.01024716,0.003123182
PZ-1,260,0.01555118,0.004739768
PZ-1,280,0.01511374,0.004606443
PZ-1,300,0.02041776,0.00622303
PZ-1,320,0.01423885,0.00433979
PZ-1,340,0.01954287,0.005956376
PZ-1,360,0.0248469,0.007572966
PZ-1,380,0.02440945,0.007439637
PZ-1,400,0.01850394,0.005639726
PZ-1,420,0.03091645,0.009422874
PZ-1,440,0.03184602,0.009706193
PZ-1,460,0.03851706,0.011739427
PZ-1,480,0.03944664,0.012022749
PZ-1,500,0.04037621,0.012306068
PZ-1,520,0.04704725,0.014339302
PZ-1,540,0.05563211,0.01695584
PZ-1,560,0.06230315,0.018989073
PZ-1,580,0.0689742,0.02102231
PZ-1,600,0.06990377,0.021305629
PZ-1,620,0.07083334,0.021588948
PZ-1,640,0.07750438,0.023622182
PZ-1,660,0.07652013,0.023322198
PZ-1,680,0.08319117,0.025355431
PZ-1,700,0.08393483,0.025582088
PZ-1,720,0.0896763,0.027332002
PZ-1,740,0.08584865,0.026165392
PZ-1,760,0.09159012,0.027915306
PZ-1,780,0.09733159,0.029665221
PZ-1,800,0.09733159,0.029665221
PZ-1,820,0.09733159,0.029665221
PZ-1,840,0.10115924,0.030831832
PZ-1,860,0.10115924,0.030831832
PZ-1,880,0.10690071,0.032581746
PZ-1,900,0.10690071,0.032581746
PZ-1,920,0.11264218,0.034331661
PZ-1,940,0.11838365,0.036081576
PZ-1,960,0.11838365,0.036081576
PZ-1,980,0.11838365,0.036081576
PZ-1,"1,000.00",0.12402669,0.03780149
PZ-1,"1,020.00",0.12353456,0.037651496
PZ-1,"1,040.00",0.12304244,0.037501506
PZ-1,"1,060.00",0.12255031,0.037351512
PZ-1,"1,080.00",0.12779966,0.038951436
PZ-1,"1,100.00",0.133049,0.040551356
PZ-1,"1,120.00",0.13064305,0.039818059
PZ-1,"1,140.00",0.13015093,0.039668068
PZ-1,"1,160.00",0.13540027,0.041267988
PZ-1,"1,180.00",0.13490814,0.041117995
