well,elapsed,buildup,buildup(m)
PZ-1,0,0,0
PZ-1,20,0.00092957,0.000283319
PZ-1,40,0.00185914,0.000566638
PZ-1,60,0.00853018,0.002599872
PZ-1,80,0.00371829,0.001133279
PZ-1,100,0.01020341,0.003109848
PZ-1,120,0.01020341,0.003109848
PZ-1,140,0.01594488,0.004859762
PZ-1,160,0.02168635,0.006609677
PZ-1,180,0.01594488,0.004859762
PZ-1,200,0.02742782,0.008359592
PZ-1,220,0.03316929,0.010109506
PZ-1,240,0.03316929,0.010109506
PZ-1,260,0.03316929,0.010109506
PZ-1,280,0.04465223,0.013609336
PZ-1,300,0.04465223,0.013609336
PZ-1,320,0.04465223,0.013609336
PZ-1,340,0.05230753,0.015942557
PZ-1,360,0.058049,0.017692472
PZ-1,380,0.06187664,0.01885908
PZ-1,400,0.07327209,0.022332243
PZ-1,420,0.07283465,0.022198918
PZ-1,440,0.0723972,0.02206559
PZ-1,460,0.07770123,0.023682179
PZ-1,480,0.07726378,0.023548851
PZ-1,500,0.07874016,0.02399883
PZ-1,520,0.08404418,0.025615416
PZ-1,540,0.08360674,0.025482091
PZ-1,560,0.08316929,0.025348763
PZ-1,580,0.08273185,0.025215437
PZ-1,600,0.08803587,0.026832024
PZ-1,620,0.08185696,0.024948784
PZ-1,640,0.08141951,0.024815456
PZ-1,660,0.08098207,0.02468213
PZ-1,680,0.08437227,0.025715413
PZ-1,700,0.08402231,0.02560875
PZ-1,720,0.08019467,0.024442143
PZ-1,740,0.08019467,0.024442143
PZ-1,760,0.08019467,0.024442143
PZ-1,780,0.08976378,0.027358665
PZ-1,800,0.09550525,0.02910858
PZ-1,820,0.10316055,0.031441801
PZ-1,840,0.10890202,0.033191716
PZ-1,860,0.11272966,0.034358324
PZ-1,880,0.11847113,0.036108238
PZ-1,900,0.11655731,0.035524934
PZ-1,920,0.1242126,0.037858153
PZ-1,940,0.12995407,0.039608068
PZ-1,960,0.1318679,0.040191375
PZ-1,980,0.13760937,0.041941289
PZ-1,"1,000.00",0.14335084,0.043691204
PZ-1,"1,020.00",0.14909231,0.045441119
PZ-1,"1,040.00",0.14909231,0.045441119
PZ-1,"1,060.00",0.15291995,0.046607726
PZ-1,"1,080.00",0.15291995,0.046607726
PZ-1,"1,100.00",0.15291995,0.046607726
PZ-1,"1,120.00",0.15866142,0.048357641
PZ-1,"1,140.00",0.16248907,0.049524252
PZ-1,"1,160.00",0.16823054,0.051274166
PZ-1,"1,180.00",0.16823054,0.051274166
PZ-1,"1,200.00",0.16823054,0.051274166
PZ-1,"1,220.00",0.16823054,0.051274166
PZ-1,"1,240.00",0.17971348,0.054773996
PZ-1,"1,260.00",0.1816273,0.0553573
PZ-1,"1,280.00",0.1816273,0.0553573
PZ-1,"1,300.00",0.18181322,0.055413965
PZ-1,"1,320.00",0.19422573,0.059197114
PZ-1,"1,340.00",0.20281059,0.061813651
PZ-1,"1,360.00",0.20374016,0.06209697
PZ-1,"1,380.00",0.20466974,0.062380293
PZ-1,"1,400.00",0.20751313,0.063246916
PZ-1,"1,420.00",0.2084427,0.063530235
PZ-1,"1,440.00",0.21511374,0.065563468
PZ-1,"1,460.00",0.21604331,0.065846788
PZ-1,"1,480.00",0.22080053,0.067296717
PZ-1,"1,500.00",0.22747157,0.069329951
PZ-1,"1,520.00",0.22265967,0.067863356
PZ-1,"1,540.00",0.22933072,0.069896593
PZ-1,"1,560.00",0.23600176,0.071929826
PZ-1,"1,580.00",0.23693133,0.072213145
PZ-1,"1,600.00",0.24332897,0.074163051
PZ-1,"1,620.00",0.24863299,0.075779637
PZ-1,"1,640.00",0.24245408,0.073896397
PZ-1,"1,660.00",0.2477581,0.075512984
PZ-1,"1,680.00",0.24732066,0.075379659
PZ-1,"1,700.00",0.25262468,0.076996245
PZ-1,"1,720.00",0.25218723,0.076862917
PZ-1,"1,740.00",0.25940508,0.07906281
PZ-1,"1,760.00",0.25896764,0.078929485
PZ-1,"1,780.00",0.25853019,0.078796157
PZ-1,"1,800.00",0.25809275,0.078662831
PZ-1,"1,820.00",0.26148295,0.079696114
PZ-1,"1,840.00",0.2610455,0.079562786
PZ-1,"1,860.00",0.26634953,0.081179375
PZ-1,"1,880.00",0.27165355,0.082795962
PZ-1,"1,900.00",0.27139108,0.082715965
PZ-1,"1,920.00",0.27757,0.084599208
PZ-1,"1,940.00",0.27800745,0.084732536
PZ-1,"1,960.00",0.28418636,0.086615776
PZ-1,"1,980.00",0.28462381,0.086749104
PZ-1,"2,000.00",0.28506125,0.086882429
PZ-1,"2,020.00",0.28741252,0.087599061
PZ-1,"2,040.00",0.29359144,0.089482304
PZ-1,"2,060.00",0.29977035,0.091365544
PZ-1,"2,080.00",0.3002078,0.091498872
PZ-1,"2,100.00",0.30638671,0.093382112
PZ-1,"2,120.00",0.30682416,0.09351544
PZ-1,"2,140.00",0.31108925,0.094815376
PZ-1,"2,160.00",0.31152669,0.094948702
PZ-1,"2,180.00",0.31196414,0.09508203
PZ-1,"2,200.00",0.31795714,0.096908607
PZ-1,"2,220.00",0.31746501,0.096758613
PZ-1,"2,240.00",0.31697289,0.096608622
PZ-1,"2,260.00",0.32222223,0.098208543
PZ-1,"2,280.00",0.32173011,0.098058552
PZ-1,"2,300.00",0.32697945,0.099658473
PZ-1,"2,320.00",0.32648732,0.099508479
PZ-1,"2,340.00",0.3259952,0.099358488
PZ-1,"2,360.00",0.33124454,0.100958409
PZ-1,"2,380.00",0.33266624,0.101391722
PZ-1,"2,400.00",0.33217411,0.101241728
PZ-1,"2,420.00",0.33168199,0.101091737
PZ-1,"2,440.00",0.33118986,0.100941743
PZ-1,"2,460.00",0.33643921,0.102541667
PZ-1,"2,480.00",0.34168855,0.104141588
PZ-1,"2,500.00",0.34129485,0.104021594
PZ-1,"2,520.00",0.33938103,0.10343829
PZ-1,"2,540.00",0.33938103,0.10343829
PZ-1,"2,560.00",0.34703632,0.105771509
PZ-1,"2,580.00",0.3451225,0.105188205
PZ-1,"2,600.00",0.3451225,0.105188205
PZ-1,"2,620.00",0.35086397,0.106938119
PZ-1,"2,640.00",0.35277779,0.107521423
PZ-1,"2,660.00",0.35851926,0.109271338
PZ-1,"2,680.00",0.35851926,0.109271338
PZ-1,"2,700.00",0.35660544,0.108688034
PW-1,0,0,0
PW-1,18,0.00092957,0.000283319
PW-1,38,0.00185914,0.000566638
PW-1,58,0.00278872,0.00084996
PW-1,78,0.00371829,0.001133279
PW-1,98,-0.00118657,-0.000361649
PW-1,118,0.0045549,0.001388266
PW-1,138,0.0045549,0.001388266
PW-1,158,0.0045549,0.001388266
PW-1,178,0.00838255,0.002554877
PW-1,198,0.0045549,0.001388266
PW-1,218,0.0045549,0.001388266
PW-1,238,0.0045549,0.001388266
PW-1,258,0.00838255,0.002554877
PW-1,278,0.01029637,0.00313818
PW-1,298,0.01029637,0.00313818
PW-1,318,0.01029637,0.00313818
PW-1,338,0.01795166,0.005471399
PW-1,358,0.01795166,0.005471399
PW-1,378,0.01986549,0.006054706
PW-1,398,0.01790792,0.005458068
PW-1,418,0.02321194,0.007074654
PW-1,438,0.0227745,0.006941329
PW-1,458,0.02233705,0.006808001
PW-1,478,0.02381343,0.007257979
PW-1,498,0.02720363,0.008291262
PW-1,518,0.02676619,0.008157937
PW-1,538,0.02632874,0.008024608
PW-1,558,0.03163277,0.009641198
PW-1,578,0.03502297,0.01067448
PW-1,598,0.03075788,0.009374544
PW-1,618,0.03032043,0.009241216
PW-1,638,0.02988299,0.009107891
PW-1,658,0.03710083,0.011307781
PW-1,678,0.03666339,0.011174456
PW-1,698,0.03626969,0.011054462
PW-1,718,0.04201116,0.012804377
PW-1,738,0.03626969,0.011054462
PW-1,758,0.04201116,0.012804377
PW-1,778,0.04201116,0.012804377
PW-1,798,0.04201116,0.012804377
PW-1,818,0.04775263,0.014554291
PW-1,838,0.04201116,0.012804377
PW-1,858,0.04775263,0.014554291
PW-1,878,0.0534941,0.016304206
PW-1,898,0.0534941,0.016304206
PW-1,918,0.0534941,0.016304206
PW-1,938,0.0534941,0.016304206
PW-1,958,0.06306321,0.019220728
PW-1,978,0.05923557,0.018054121
PW-1,998,0.05923557,0.018054121
PW-1,"1,018.00",0.06689086,0.020387339
PW-1,"1,038.00",0.06689086,0.020387339
PW-1,"1,058.00",0.06689086,0.020387339
