time (day), concentration (ppb) 
21.9736,1.28E-01
22.2236,1.29E-01
22.4736,1.28E-01
22.7236,1.17E-01
22.9736,1.23E-01
23.2236,1.21E-01
23.4736,1.15E-01
23.7236,1.14E-01
23.9736,1.11E-01
24.2236,1.11E-01
24.4736,1.09E-01
24.7236,1.07E-01
24.9736,1.07E-01
25.2236,1.08E-01
25.4736,1.10E-01
25.7236,1.07E-01
26.2236,1.14E-01
26.7236,1.18E-01
27.2236,1.16E-01
27.4736,8.72E-02
27.7236,8.91E-02
27.9736,8.80E-02
28.2236,9.20E-02
28.4736,8.75E-02
28.7236,8.77E-02
28.9736,7.87E-02
29.2236,8.56E-02
29.4736,7.95E-02
29.7236,7.83E-02
29.9736,7.94E-02
30.2236,7.88E-02
30.4736,8.30E-02
30.7236,7.21E-02
30.9736,7.85E-02
31.2236,7.48E-02
31.4736,7.68E-02
31.7236,7.32E-02
31.9736,7.46E-02
32.2236,6.95E-02
32.4736,7.24E-02
32.7236,6.71E-02
32.9736,7.16E-02
33.2236,6.75E-02
33.4736,6.83E-02
33.7236,9.08E-02
33.9736,6.93E-02
36.2236,6.91E-02
36.7236,6.52E-02
36.9736,7.30E-02
37.2236,6.38E-02
37.4736,6.52E-02
37.7236,6.16E-02
37.9736,6.39E-02
38.2236,6.07E-02
38.4736,6.18E-02
38.7236,6.03E-02
38.9736,6.04E-02
39.2236,6.45E-02
39.4736,6.00E-02
39.7236,7.00E-02
39.9736,6.48E-02
