0.270014935,0.015260549
0.278462615,0.022985371
0.29163226,0.038454174
0.305424752,0.075309778
0.329876978,0.160416015
0.3401975,0.204245321
0.373137116,0.421565725
0.40926611,0.676258938
0.435275282,0.808446058
0.462937356,0.966471556
0.507761256,1.143315379
0.55692523,1.192367932
0.574349177,1.143315379
0.629960525,1.192367932
0.629960525,1.13137085
0.680395,1.167584085
0.734867246,1.13137085
0.81853222,1.018578206
0.857243983,1.062279062
0.884063695,0.976675149
0.897786585,1.084827642
0.954841604,0.936495932
0.984714753,0.879304978
1.047294123,0.897969639
1.047294123,0.816981285
1.09682498,0.852032872
1.131140217,0.690613621
1.184636501,0.751144729
1.221699007,0.705273004
1.25992105,0.72784758
1.27947819,0.608838928
1.339989989,0.791642181
1.36079,0.634960421
1.40336364,0.662202624
1.469734492,0.615266789
1.539244296,0.602478221
1.587401052,0.621762513
1.612041505,0.577693007
1.688281594,0.548140394
1.714487966,0.50396842
1.768127391,0.520099582
1.851749425,0.498703324
1.969429506,0.473191527
2.031045025,0.514665959
2.062571947,0.488337574
2.160119478,0.473191527
2.262280434,0.435059319
2.369273002,0.435059319
2.443398014,0.404223029
2.5198421,0.375572364
2.639015822,0.360121778
2.72158,0.341699295
2.894538475,0.331101312
2.985096929,0.301239111
3.224083009,0.304419464
3.376563187,0.279887777
3.536254781,0.288846503
3.59114634,0.249351662
3.878652579,0.246746617
3.938859012,0.239093641
4.125143894,0.244168787
4.254203036,0.222147076
4.524560867,0.204245321
4.886796029,0.222147076
4.886796029,0.193796895
5.0396842,0.180060889
5.359959955,0.206401656
5.278031643,0.170849648
5.52765152,0.160416015
5.878937969,0.204245321
6.062866266,0.130024896
6.252548939,0.135603455
6.857951863,0.135603455
7.182292681,0.131397643
7.638732831,0.125992105
7.877718023,0.145948011
7.877718023,0.113431252
8.378352983,0.115839013
8.508406072,0.109913122
9.18958684,0.111073538
9.332232317,0.091941485
9.773592058,0.095886123
10.0793684,0.074522996
10.55606329,0.109913122
10.71991991,0.093893091
10.88632,0.088159125
11.05530304,0.083649234
11.40117896,0.076908349
12.12573253,0.072974005
12.50509788,0.069240928
13.29980634,0.065012448
13.50625275,0.060404472
14.58755982,0.056715626
15.27746566,0.053252054
16.75670597,0.054382415
16.75670597,0.047943061
17.54919968,0.045490474
19.54718412,0.044079563
20.1587368,0.039685026
21.43983982,0.042266184
22.11060608,0.037261498
23.1563078,0.040527405
24.62790873,0.034985972
24.62790873,0.02957447
27.0125055,0.033196221
27.0125055,0.02957447
29.17511963,0.025
30.55493133,0.023228041
31.02922063,0.020477638
32,0.022039781
33.00115115,0.023473273
