,time,normalized_conc
0,0.0,
1,0.3015075376884422,
2,0.6030150753768844,
3,0.9045226130653266,
4,1.2060301507537687,
5,1.507537688442211,1.0
6,1.809045226130653,0.8827211992588393
7,2.1105527638190953,0.38022763127671394
8,2.4120603015075375,0.2336653725544603
9,2.7135678391959797,0.1406103480543413
10,3.015075376884422,0.10720101909571143
11,3.316582914572864,0.08343873001474968
12,3.618090452261306,0.06642527999327213
13,3.9195979899497484,0.04164176339265054
14,4.221105527638191,0.047948730382164684
15,4.522613065326633,0.028203655351954883
16,4.824120603015075,0.014724662440566272
17,5.125628140703517,0.006241399724322324
18,5.427135678391959,0.0048804305317547295
19,5.7286432160804015,0.0008780628185006572
20,6.030150753768844,0.0009155154849016287
21,6.331658291457286,0.0009641172175798081
22,6.633165829145728,
23,6.93467336683417,
24,7.236180904522612,
25,7.537688442211055,
26,7.839195979899497,
27,8.140703517587939,
28,8.442211055276381,
29,8.743718592964823,
30,9.045226130653266,
31,9.346733668341708,
32,9.64824120603015,
33,9.949748743718592,
34,10.251256281407034,
35,10.552763819095476,
36,10.854271356783919,
37,11.15577889447236,
38,11.457286432160803,
39,11.758793969849245,
40,12.060301507537687,
41,12.36180904522613,
42,12.663316582914572,
43,12.964824120603014,
44,13.266331658291456,
45,13.567839195979898,
46,13.86934673366834,
47,14.170854271356783,
48,14.472361809045225,
49,14.773869346733667,
50,15.07537688442211,
51,15.376884422110551,
52,15.678391959798994,
53,15.979899497487436,
54,16.281407035175878,
55,16.58291457286432,
56,16.884422110552762,
57,17.185929648241206,
58,17.487437185929647,
59,17.788944723618087,
60,18.09045226130653,
61,18.391959798994975,
62,18.693467336683415,
63,18.994974874371856,
64,19.2964824120603,
65,19.597989949748744,
66,19.899497487437184,
67,20.201005025125625,
68,20.50251256281407,
69,20.804020100502512,
70,21.105527638190953,
71,21.407035175879393,
72,21.708542713567837,
73,22.01005025125628,
74,22.31155778894472,
75,22.613065326633162,
76,22.914572864321606,
77,23.21608040201005,
78,23.51758793969849,
79,23.81909547738693,
80,24.120603015075375,
81,24.42211055276382,
82,24.72361809045226,
83,25.0251256281407,
84,25.326633165829143,
85,25.628140703517587,0.00378900524811563
86,25.929648241206028,
87,26.23115577889447,
88,26.532663316582912,
89,26.834170854271356,
90,27.135678391959797,
91,27.437185929648237,
92,27.73869346733668,
93,28.040201005025125,
94,28.341708542713565,
95,28.643216080402006,
96,28.94472361809045,
97,29.246231155778894,
98,29.547738693467334,
99,29.849246231155774,
100,30.15075376884422,
101,30.452261306532662,
102,30.753768844221103,
103,31.055276381909543,
104,31.356783919597987,
105,31.65829145728643,
106,31.95979899497487,
107,32.26130653266331,
108,32.562814070351756,
109,32.8643216080402,
110,33.16582914572864,
111,33.46733668341708,
112,33.768844221105525,
113,34.07035175879397,
114,34.37185929648241,
115,34.67336683417085,
116,34.97487437185929,
117,35.27638190954774,
118,35.577889447236174,
119,35.87939698492462,
120,36.18090452261306,
121,36.482412060301506,
122,36.78391959798995,
123,37.08542713567839,
124,37.38693467336683,
125,37.688442211055275,
126,37.98994974874371,
127,38.291457286432156,
128,38.5929648241206,
129,38.89447236180904,
130,39.19597989949749,
131,39.497487437185924,
132,39.79899497487437,
133,40.10050251256281,
134,40.40201005025125,
135,40.70351758793969,
136,41.00502512562814,
137,41.30653266331658,
138,41.608040201005025,
139,41.90954773869346,
140,42.211055276381906,
141,42.51256281407035,
142,42.81407035175879,
143,43.11557788944723,
144,43.417085427135675,
145,43.71859296482412,
146,44.02010050251256,
147,44.321608040201,
148,44.62311557788944,
149,44.92462311557789,
150,45.226130653266324,
151,45.52763819095477,
152,45.82914572864321,
153,46.130653266331656,
154,46.4321608040201,
155,46.73366834170854,
156,47.03517587939698,
157,47.336683417085425,
158,47.63819095477386,
159,47.939698492462306,
160,48.24120603015075,
161,48.54271356783919,
162,48.84422110552764,
163,49.145728643216074,
164,49.44723618090452,
165,49.74874371859296,
166,50.0502512562814,
167,50.35175879396984,
168,50.65326633165829,
169,50.95477386934673,
170,51.256281407035175,
171,51.55778894472361,
172,51.859296482412056,
173,52.1608040201005,
174,52.46231155778894,
175,52.76381909547738,
176,53.065326633165824,
177,53.36683417085427,
178,53.66834170854271,
179,53.96984924623115,
180,54.27135678391959,
181,54.57286432160804,
182,54.874371859296474,
183,55.17587939698492,
184,55.47738693467336,
185,55.778894472361806,
186,56.08040201005025,
187,56.38190954773869,
188,56.68341708542713,
189,56.984924623115575,
190,57.28643216080401,
191,57.587939698492455,
192,57.8894472361809,
193,58.19095477386934,
194,58.49246231155779,
195,58.793969849246224,
196,59.09547738693467,
197,59.39698492462311,
198,59.69849246231155,
