well,date,time,elapsed,head(ft),buildup,buildup(m)
PZ-1,8/26/2024,13:00:00,0:00:00,33.54424867,0,0
PZ-1,8/26/2024,13:15:00,0:15:00,33.26483046,0.27941821,0.085162514
PZ-1,8/26/2024,13:30:00,0:30:00,32.58159553,0.96265314,0.293402359
PZ-1,8/26/2024,13:45:00,0:45:00,32.81344156,0.73080711,0.222739137
PW-1,8/26/2024,13:00:00,0:00:00,19.26271934,0,0
PW-1,8/26/2024,13:15:18,0:15:18,19.10961347,0.15310587,0.046664392
PW-1,8/26/2024,13:30:18,0:30:18,18.6770894,0.58562994,0.178491295
PW-1,8/26/2024,13:45:18,0:45:18,18.52234311,0.74037623,0.225655663
PW-2,8/26/2024,13:00:00,0:00:00,30.77687106,0,0
PW-2,8/26/2024,13:15:00,0:15:00,30.75007754,0.02679352,0.008166266
PW-2,8/26/2024,13:30:00,0:30:00,30.69457666,0.0822944,0.025082109
PW-2,8/26/2024,13:45:00,0:45:00,30.65465977,0.12221129,0.037248183
PMW-4,8/26/2024,13:00:00,0:00:00,31.56632866,0,0
PMW-4,8/26/2024,13:15:12,0:15:12,31.54910425,0.01722441,0.005249744
PMW-4,8/26/2024,13:30:12,0:30:12,31.46106837,0.10526029,0.032081771
PMW-4,8/26/2024,13:45:12,0:45:12,31.36182296,0.2045057,0.062330296
PMW-3,8/26/2024,13:00:00,0:00:00,36.23906503,0,0
PMW-3,8/26/2024,13:15:00,0:15:00,36.20078856,0.03827647,0.011666099
PMW-3,8/26/2024,13:30:00,0:30:00,36.10892504,0.13013999,0.039664733
PMW-3,8/26/2024,13:45:00,0:45:00,35.98671375,0.25235128,0.076912917
PMW-6,8/26/2024,13:00:00,0:00:00,8.88123388,0,0
PMW-6,8/26/2024,13:15:00,0:15:00,8.88779556,0.00656168,0.001999902
PMW-6,8/26/2024,13:30:00,0:30:00,8.940289,0.05905512,0.017999122
PMW-6,8/26/2024,13:45:00,0:45:00,9.04199504,0.16076116,0.04899761
PMW-9,8/26/2024,13:00:00,0:00:00,4.23556444,0,0
PMW-9,8/26/2024,13:15:00,0:15:00,4.2322836,0.00328084,0.000999951
PMW-9,8/26/2024,13:30:00,0:30:00,4.23556444,0,0
PMW-9,8/26/2024,13:45:00,0:45:00,4.2322836,0.00328084,0.000999951
PMW-10,8/26/2024,13:00:00,0:00:00,9.7933074,0,0
PMW-10,8/26/2024,13:15:00,0:15:00,9.80314992,0.00984252,0.002999854
PMW-10,8/26/2024,13:30:00,0:30:00,9.90485596,0.11154856,0.033998342
PMW-10,8/26/2024,13:45:00,0:45:00,10.10170636,0.30839896,0.093995416
OW24P,8/26/2024,13:00:00,0:00:00,36.71046705,0,0
OW24P,8/26/2024,13:15:10,0:15:10,36.71046705,0,0
OW24P,8/26/2024,13:30:10,0:30:10,36.70089794,0.00956911,0.002916522
OW24P,8/26/2024,13:45:10,0:45:10,36.69351605,0.016951,0.005166413
OW23P,8/26/2024,13:00:00,0:00:00,44.02225644,0,0
OW23P,8/26/2024,13:15:25,0:15:25,43.99737674,0.0248797,0.007582963
OW23P,8/26/2024,13:30:25,0:30:25,43.99737674,0.0248797,0.007582963
OW23P,8/26/2024,13:45:25,0:45:25,43.98042573,0.04183071,0.012749378
OW17P,8/26/2024,13:00:00,0:00:00,29.45899044,0,0
OW17P,8/26/2024,13:15:05,0:15:05,29.45899044,0,0
OW17P,8/26/2024,13:30:05,0:30:05,29.45133515,0.00765529,0.002333219
OW17P,8/26/2024,13:45:05,0:45:05,29.44778091,0.01120953,0.003416498
