time,HEAD_PMW-3,HEAD_PMW-6,HEAD_PMW-10,HEAD_PW2-2,HEAD_PMW-9,HEAD_PZ1-2,HEAD_PMW-4,HEAD_PMW-5,HEAD_OW24P,HEAD_OW23P,HEAD_OW17P,HEAD_PW2-1,HEAD_PZ1-1,HEAD_PZ1-3
0.010417,0.019119067,0.001999902,0.000999951,0.012702716,0,0.28685601,0.011162789,0.002999854,-0.001088281,0.005233078,-0.001092447,0.00511975,0.105448193,0.106674794
0.020833,0.046447735,0.016999171,0.020998976,0.028948589,0,0.337516873,0.030415181,0.036998196,0.001233273,0.008622911,0.00235822,0.007949613,0.135693383,0.137153307
0.03125,0.064536855,0.040998001,0.058997123,0.038871439,0.000999951,0.367272088,0.046574395,0.076996245,0.008089607,0.012116909,0.004623109,0.012039415,0.153199195,0.152392563
0.041667,0.079076144,0.061996977,0.093995416,0.043494547,0.001999902,0.388227732,0.051117507,0.10499488,0.003896477,0.015950055,0.008629579,0.012579387,0.161905437,0.164583968
