time,HEAD_PW1-2,HEAD_PMW-6,HEAD_PMW-10,HEAD_PW2-2,HEAD_PMW-9,HEAD_PZ1-2,HEAD_PMW-4,HEAD_PMW-3,HEAD_OW24P,HEAD_OW23P,HEAD_OW17P,HEAD_PW2-1,HEAD_PZ1-1,HEAD_PZ1-3
0.010417,0.046664392,0.001999902,0.002999854,0.008166266,0.000999951,0.085162514,0.005249744,0.011666099,0,0.007582963,0,0,0.026832024,0.027430661
0.020833,0.178491295,0.017999122,0.033998342,0.025082109,0,0.293402359,0.032081771,0.039664733,0.002916522,0.007582963,0.002333219,0.003499829,0.082829293,0.088387687
0.03125,0.225655663,0.04899761,0.093995416,0.037248183,0.000999951,0.222739137,0.062330296,0.076912917,0.005166413,0.012749378,0.003416498,0.007499634,0.092662149,0.09753124
