well,date,time,elapsed,head(ft),buildup,buildup(m)
PZ-1-2,8/29/2024,9:15:00,0.000000,33.48874779,0,0
PZ-1-2,8/29/2024,9:30:00,0.010417,33.42605094,0.06269685,0.019109067
PZ-1-2,8/29/2024,9:45:00,0.020833,33.28113624,0.20761155,0.063276913
PZ-1-2,8/29/2024,10:15:00,0.041667,32.99689519,0.4918526,0.149909357
PZ-1-2,8/29/2024,10:45:00,0.062500,32.84006011,0.64868768,0.197710357
PW-1-2,8/29/2024,9:15:00,0.000000,19.18233876,0,0
PW-1-2,8/29/2024,9:30:18,0.010625,19.1517832,0.03055556,0.00931288
PW-1-2,8/29/2024,9:45:18,0.021042,19.06423399,0.11810477,0.035996577
PW-1-2,8/29/2024,10:15:18,0.041875,18.77660821,0.40573055,0.123660637
PW-1-2,8/29/2024,10:45:18,0.062708,18.5761981,0.60614066,0.184742658
PW-2-2,8/29/2024,9:15:00,0.000000,31.28522629,0,0
PW-2-2,8/29/2024,9:30:00,0.010417,31.28076434,0.00446195,0.001359936
PW-2-2,8/29/2024,9:45:00,0.020833,31.28594807,-0.00072178,-0.000219988
PW-2-2,8/29/2024,10:15:00,0.041667,31.29805437,-0.01282808,-0.003909808
PW-2-2,8/29/2024,10:45:00,0.062500,31.28066592,0.00456037,0.001389933
PMW-14,8/29/2024,9:15:00,0.000000,28.42073582,0,0
PMW-14,8/29/2024,9:30:09,0.010521,28.05928567,0.36145015,0.11016463
PMW-14,8/29/2024,9:45:09,0.020938,27.82740411,0.59333171,0.18083868
PMW-14,8/29/2024,10:15:09,0.041771,27.56443658,0.85629924,0.260987272
PMW-14,8/29/2024,10:45:09,0.062604,27.41301761,1.00771821,0.307137522
PMW-4,8/29/2024,9:15:00,0.000000,31.40173985,0,0
PMW-4,8/29/2024,9:30:12,0.010556,31.40959199,-0.00785214,-0.002393215
PMW-4,8/29/2024,9:45:12,0.020972,31.38330153,0.01843832,0.005619726
PMW-4,8/29/2024,10:15:12,0.041806,31.31753162,0.08420823,0.025665416
PMW-4,8/29/2024,10:45:12,0.062639,31.25285533,0.14888452,0.045377787
PMW-3,8/29/2024,9:15:00,0.000000,36.22758209,0,0
PMW-3,8/29/2024,9:30:00,0.010417,35.7687238,0.45885829,0.139853182
PMW-3,8/29/2024,9:45:00,0.020833,35.55873911,0.66884298,0.203853392
PMW-3,8/29/2024,10:15:00,0.041667,35.29937777,0.92820432,0.282902871
PMW-3,8/29/2024,10:45:00,0.062500,35.14637033,1.08121176,0.329537263
PMW-5,8/29/2024,9:15:00,0.000000,8.06430472,0,0
PMW-5,8/29/2024,9:30:00,0.010417,8.08398976,0.01968504,0.005999707
PMW-5,8/29/2024,9:45:00,0.020833,8.16601076,0.10170604,0.030998488
PMW-5,8/29/2024,10:15:00,0.041667,8.3825462,0.31824148,0.09699527
PMW-5,8/29/2024,10:45:00,0.062500,8.54986904,0.48556432,0.147992783
PMW-9,8/29/2024,9:15:00,0.000000,4.42585316,0,0
PMW-9,8/29/2024,9:30:00,0.010417,4.42585316,0,0
PMW-9,8/29/2024,9:45:00,0.020833,4.42257232,-0.00328084,-0.000999951
PMW-9,8/29/2024,10:15:00,0.041667,4.429134,0.00328084,0.000999951
PMW-9,8/29/2024,10:45:00,0.062500,4.43569568,0.00984252,0.002999854
PMW-10,8/29/2024,9:15:00,0.000000,9.98359612,0,0
PMW-10,8/29/2024,9:30:00,0.010417,10.00000032,0.0164042,0.004999756
PMW-10,8/29/2024,9:45:00,0.020833,10.07874048,0.09514436,0.028998586
PMW-10,8/29/2024,10:15:00,0.041667,10.34448852,0.3608924,0.109994636
PMW-10,8/29/2024,10:45:00,0.062500,10.54461976,0.56102364,0.170991661
OW24P,8/29/2024,9:15:00,0.000000,36.70855323,0,0
OW24P,8/29/2024,9:30:10,0.010532,36.69731089,0.01124234,0.003426498
OW24P,8/29/2024,9:45:10,0.020949,36.67676736,0.03178587,0.00968786
OW24P,8/29/2024,10:15:10,0.041782,36.66453529,0.04401794,0.013416013
OW24P,8/29/2024,10:45:10,0.062616,36.62468949,0.08386374,0.025560421
OW23P,8/29/2024,9:15:00,0.000000,44.04522232,0,0
OW23P,8/29/2024,9:30:25,0.010706,43.97623719,0.06898513,0.021025642
OW23P,8/29/2024,9:45:25,0.021123,43.89632413,0.14889819,0.045381954
OW23P,8/29/2024,10:15:25,0.041956,43.79642529,0.24879703,0.075829634
OW23P,8/29/2024,10:45:25,0.062789,43.73589652,0.3093258,0.094277903
OW17P,8/29/2024,9:15:05,0.000000,29.42836927,0,0
OW17P,8/29/2024,9:30:05,0.010475,29.40958099,0.01878828,0.005726388
OW17P,8/29/2024,9:45:05,0.020891,29.37374055,0.05462872,0.016650021
OW17P,8/29/2024,10:15:05,0.041725,29.31736752,0.11100175,0.033831682
OW17P,8/29/2024,10:45:05,0.062558,29.2620881,0.16628117,0.050680027
PZ-1-1,,,0.010417,,,0.009192886
PZ-1-1,,,0.020833,,,0.024778793
PZ-1-1,,,0.041667,,,0.064746842
PZ-1-1,,,0.0625,,,0.09271548
PZ-1-3,,,0.010417,,,0.006095703
PZ-1-3,,,0.020833,,,0.021334959
PZ-1-3,,,0.041667,,,0.057909174
PZ-1-3,,,0.0625,,,0.079244133
PW-2-1,,,0.010417,,,0.003359835
PW-2-1,,,0.020833,,,0.007279646
PW-2-1,,,0.041667,,,0.01808245
PW-2-1,,,0.0625,,,0.028551941
