well,date,time,elapsed,head(ft),buildup,buildup(m)
PZ-1,8/26/2024,9:45:00,0:00:00,33.59546258,0,0
PZ-1,8/26/2024,10:00:00,0:15:00,33.53613406,0.05932852,0.01808245
PZ-1,8/26/2024,10:15:00,0:30:00,33.45730641,0.13815617,0.042107946
PZ-1,8/26/2024,10:30:00,0:45:00,33.35332565,0.24213693,0.073799735
PW-1,8/26/2024,9:45:00,0:00:00,19.31006186,0,0
PW-1,8/26/2024,10:00:18,0:15:18,19.27796431,0.03209755,0.009782856
PW-1,8/26/2024,10:15:18,0:30:18,19.2102259,0.09983596,0.030428516
PW-1,8/26/2024,10:30:18,0:45:18,19.13264497,0.17741689,0.054074029
PW-2,8/26/2024,9:45:00,0:00:00,30.81086057,0,0
PW-2,8/26/2024,10:00:00,0:15:00,30.8051191,0.00574147,0.001749915
PW-2,8/26/2024,10:15:00,0:30:00,30.78179232,0.02906825,0.00885957
PW-2,8/26/2024,10:30:00,0:45:00,30.76584744,0.04501313,0.013719333
PMW-3,8/26/2024,9:45:00,0:00:00,36.26922688,0,0
PMW-3,8/26/2024,10:00:00,0:15:00,36.26731306,0.00191382,0.000583304
PMW-3,8/26/2024,10:15:00,0:30:00,36.24207246,0.02715442,0.008276263
PMW-3,8/26/2024,10:30:00,0:45:00,36.21847229,0.05075459,0.015469244
PMW-5,8/26/2024,9:45:00,0:00:00,8.14960656,0,0
PMW-5,8/26/2024,10:00:00,0:15:00,8.15616824,0.00656168,0.001999902
PMW-5,8/26/2024,10:15:00,0:30:00,8.19553832,0.04593176,0.013999317
PMW-5,8/26/2024,10:30:00,0:45:00,8.2513126,0.10170604,0.030998488
PMW-6,8/26/2024,9:45:00,0:00:00,8.87139136,0,0
PMW-6,8/26/2024,10:00:00,0:15:00,8.86482968,0.00656168,0.001999902
PMW-6,8/26/2024,10:15:00,0:30:00,8.86811052,0.00328084,0.000999951
PMW-6,8/26/2024,10:30:00,0:45:00,8.88123388,-0.00984252,-0.002999854
PMW-9,8/26/2024,9:45:00,0:00:00,4.23556444,0,0
PMW-9,8/26/2024,10:00:00,0:15:00,4.23556444,0,0
PMW-9,8/26/2024,10:15:00,0:30:00,4.2322836,0.00328084,0.000999951
PMW-9,8/26/2024,10:30:00,0:45:00,4.2322836,0.00328084,0.000999951
PMW-10,8/26/2024,9:45:00,0:00:00,9.79658824,0,0
PMW-10,8/26/2024,10:00:00,0:15:00,9.7933074,-0.00328084,-0.000999951
PMW-10,8/26/2024,10:15:00,0:30:00,9.79986908,0.00328084,0.000999951
PMW-10,8/26/2024,10:30:00,0:45:00,9.81627328,0.01968504,0.005999707
OW24P,8/26/2024,9:45:00,0:00:00,36.74976058,0,0
OW24P,8/26/2024,10:00:10,0:15:10,36.7465891,0.00317148,0.00096662
OW24P,8/26/2024,10:15:10,0:30:10,36.73835419,0.01140639,0.003476498
OW24P,8/26/2024,10:30:10,0:45:10,36.739415,0.01034558,0.003153179
OW23P,8/26/2024,9:45:00,0:00:00,44.04656746,0,0
OW23P,8/26/2024,10:00:25,0:15:25,44.03765452,0.00891294,0.002716532
OW23P,8/26/2024,10:15:55,0:30:55,44.03483299,0.01173447,0.003576492
OW23P,8/26/2024,10:30:25,0:45:25,44.01068601,0.03588145,0.010936132
OW17P,8/26/2024,9:45:00,0:00:05,29.50457225,0,0
OW17P,8/26/2024,10:00:05,0:15:05,29.49883078,0.00574147,0.001749915
OW17P,8/26/2024,10:15:05,0:30:05,29.48304994,0.02152231,0.00655968
OW17P,8/26/2024,10:30:05,0:45:05,29.47465099,0.02992126,0.009119555
