well,date,time,elapsed,head(ft),buildup,buildup(m)
PZ-1,8/23/2024,10:49:00,0:00:00,33.84485016,0,0
PZ-1,8/23/2024,11:04:00,0:15:00,32.90367559,0.94117457,0.28685601
PZ-1,8/23/2024,11:19:00,0:30:00,32.7374573,1.10739286,0.337516873
PZ-1,8/23/2024,11:34:00,0:45:00,32.63983044,1.20501972,0.367272088
PZ-1,8/23/2024,11:49:00,1:00:00,32.57107497,1.27377519,0.388227732
PW-2,8/23/2024,10:49:00,0:00:00,30.88609023,0,0
PW-2,8/23/2024,11:04:00,0:15:00,30.84441262,0.04167761,0.012702716
PW-2,8/23/2024,11:19:00,0:30:00,30.79110991,0.09498032,0.028948589
PW-2,8/23/2024,11:34:00,0:45:00,30.75855304,0.12753719,0.038871439
PW-2,8/23/2024,11:49:00,1:00:00,30.74338462,0.14270561,0.043494547
PMW-4,8/23/2024,10:49:00,0:00:00,30.90849836,0,0
PMW-4,8/23/2024,11:04:12,0:15:12,30.87187325,0.03662511,0.011162789
PMW-4,8/23/2024,11:19:12,0:30:12,30.80870615,0.09979221,0.030415181
PMW-4,8/23/2024,11:34:12,0:45:12,30.75568777,0.15281059,0.046574395
PMW-4,8/23/2024,11:49:12,1:00:12,30.74078182,0.16771654,0.051117507
PMW-3,8/23/2024,10:49:00,0:00:00,36.12245304,0,0
PMW-3,8/23/2024,11:04:00,0:15:00,36.05972338,0.06272966,0.019119067
PMW-3,8/23/2024,11:19:00,0:30:00,35.97005802,0.15239502,0.046447735
PMW-3,8/23/2024,11:34:00,0:45:00,35.91070762,0.21174542,0.064536855
PMW-3,8/23/2024,11:49:00,1:00:00,35.86300421,0.25944883,0.079076144
PMW-5,8/23/2024,10:45:00,0:00:00,8.01181128,0,0
PMW-5,8/23/2024,11:00:00,0:11:00,8.0216538,0.00984252,0.002999854
PMW-5,8/23/2024,11:15:00,0:26:00,8.13320236,0.12139108,0.036998196
PMW-5,8/23/2024,11:30:00,0:41:00,8.26443596,0.25262468,0.076996245
PMW-5,8/23/2024,11:45:00,0:56:00,8.35629948,0.3444882,0.10499488
PMW-6,8/23/2024,10:45:00,0:00:00,8.76640448,0,0
PMW-6,8/23/2024,11:00:00,0:11:00,8.77296616,0.00656168,0.001999902
PMW-6,8/23/2024,11:15:00,0:26:00,8.82217876,0.05577428,0.016999171
PMW-6,8/23/2024,11:30:00,0:41:00,8.90091892,0.13451444,0.040998001
PMW-6,8/23/2024,11:45:00,0:56:00,8.96981656,0.20341208,0.061996977
PMW-9,8/23/2024,10:45:00,0:00:00,4.3143046,0,0
PMW-9,8/23/2024,11:00:00,0:11:00,4.3143046,0,0
PMW-9,8/23/2024,11:15:00,0:26:00,4.3143046,0,0
PMW-9,8/23/2024,11:30:00,0:41:00,4.31758544,0.00328084,0.000999951
PMW-9,8/23/2024,11:45:00,0:56:00,4.32086628,0.00656168,0.001999902
PMW-10,8/23/2024,10:45:00,0:00:00,9.64895044,0,0
PMW-10,8/23/2024,11:00:00,0:11:00,9.65223128,0.00328084,0.000999951
PMW-10,8/23/2024,11:15:00,0:26:00,9.71784808,0.06889764,0.020998976
PMW-10,8/23/2024,11:30:00,0:41:00,9.84252,0.19356956,0.058997123
PMW-10,8/23/2024,11:45:00,0:56:00,9.9573494,0.30839896,0.093995416
OW24P,8/23/2024,10:49:00,0:00:00,36.81820984,0,0
OW24P,8/23/2024,11:04:10,0:15:10,36.82178049,-0.00357065,-0.001088281
OW24P,8/23/2024,11:19:10,0:30:10,36.81416347,0.00404637,0.001233273
OW24P,8/23/2024,11:34:10,0:45:10,36.79166784,0.026542,0.008089607
OW24P,8/23/2024,11:49:10,1:00:10,36.8054255,0.01278434,0.003896477
OW23P,8/23/2024,10:45:00,0:00:00,44.13519662,0,0
OW23P,8/23/2024,11:00:25,0:15:25,44.11802689,0.01716973,0.005233078
OW23P,8/23/2024,11:15:25,0:30:25,44.10690485,0.02829177,0.008622911
OW23P,8/23/2024,11:30:25,0:45:25,44.09544104,0.03975558,0.012116909
OW23P,8/23/2024,11:45:25,1:00:25,44.08286449,0.05233213,0.015950055
OW17P,8/23/2024,10:49:00,0:00:00,29.5591873,0,0
OW17P,8/23/2024,11:04:05,0:15:05,29.56277162,-0.00358432,-0.001092447
OW17P,8/23/2024,11:19:05,0:30:05,29.55144998,0.00773732,0.00235822
OW17P,8/23/2024,11:34:05,0:45:05,29.54401888,0.01516842,0.004623109
OW17P,8/23/2024,11:49:05,1:00:05,29.53087365,0.02831365,0.008629579
