time,HEAD_PW1-2,HEAD_PMW-6,HEAD_PMW-10,HEAD_PW2-2,HEAD_PMW-9,HEAD_PZ1-2,HEAD_PMW-3,HEAD_PMW-5,HEAD_OW24P,HEAD_OW23P,HEAD_OW17P,HEAD_PW2-1,HEAD_PZ1-1,HEAD_PZ1-3
0.010417,0.009782856,0.001999902,-0.000999951,0.001749915,0,0.01808245,0.000583304,0.001999902,0.00096662,0.002716532,0.001749915,0.001749915,0.005249744,0.004571777
0.020833,0.030428516,0.000999951,0.000999951,0.00885957,0.000999951,0.042107946,0.008276263,0.013999317,0.003476498,0.003576492,0.00655968,0.005359738,0.022858884,0.015239256
0.03125,0.054074029,-0.002999854,0.005999707,0.013719333,0.000999951,0.073799735,0.015469244,0.030998488,0.003153179,0.010936132,0.009119555,0.008469589,0.039384746,0.032002438
