time,HEAD_PW-1,HEAD_PMW-6,HEAD_PMW-10,HEAD_PMW-14,HEAD_PW-2,HEAD_PMW-9,HEAD_PZ-1,HEAD_PMW-4,HEAD_PMW-5,HEAD_OW24P,HEAD_OW23P,HEAD_OW17P
0.010417,0.015665904,0.058997123,0.004999756,0.250237796,0.038414791,0.000999951,0.032581746,0.00224989,0.001999902,0.003416501,0.006916327,0.010999464
0.020833,0.047747671,0.170991661,0.035998244,0.342483298,0.066996733,0.000999951,0.073413087,0.005166416,0.021998927,0.003416501,0.021498952,0.022082255
0.041667,0.103224965,0.270986785,0.116994294,0.408400085,0.094938702,0.001999902,0.120604118,0.01743915,0.075996294,0.001676583,0.039108092,0.037808156
0.0625,0.145074593,0.31598459,0.167991807,0.441575965,0.111691219,0.003999805,0.158355611,0.03361836,0.108994685,0.013770994,0.052964916,0.0498984
