time,HEAD_PW1-2,HEAD_PMW-6,HEAD_PMW-10,HEAD_PMW-14,HEAD_PMW-3,HEAD_PMW-9,HEAD_PZ1-2,HEAD_PMW-4,HEAD_PMW-5,HEAD_OW24P,HEAD_OW23P,HEAD_OW17P,HEAD_PZ1-1,HEAD_PZ1-3
0.010417,0.016304206,0.008999561,0.022998878,0.064512685,0.050107556,0.006999659,0.035524934,0.002531542,0.008999561,-0.003273173,0.001180774,-0.001452429,0.016859177,0.018287108
0.020833,0.052905754,0.038998098,0.083995904,0.096341134,0.08099605,0.013999317,0.078662831,0.010591149,0.032998391,0.002466547,0.003903974,0.001404099,0.044831146,0.045717769
0.03125,0.087717388,0.06499683,0.128993709,0.112510344,0.104604898,0.018999073,0.108688034,0.016780847,0.054997318,0.000476644,0.007263813,0.004630607,0.061440335,0.060957025
