time,HEAD_PW-1,HEAD_PMW-6,HEAD_PMW-10,HEAD_PMW-14,HEAD_PW-2,HEAD_PMW-9,HEAD_PZ-1,HEAD_PMW-4,HEAD_PMW-5,HEAD_OW24P,HEAD_OW23P,HEAD_OW17P
1.0416999999999999E-02,2.4091753376773536E-02,3.7470536948312129E-02,3.1694995622555205E-02,5.0437340944803795E-02,3.2531283471083507E-02,3.3363784394229198E-02,2.5604253297412328E-02,1.1756945707227618E-02,1.3451498000793606E-02,2.4990341579819244E-02,2.6835479028592204E-02,2.7924342436935413E-02
2.0833000000000001E-02,3.3104302347474558E-02,4.7008245066886896E-02,4.0754093928628374E-02,6.0436095696857137E-02,4.1651884783887864E-02,4.3761053859229758E-02,3.4346966397742637E-02,1.8913406474817238E-02,2.0840082005492439E-02,3.4326751286953748E-02,3.5878172571496871E-02,3.7732921790768204E-02
4.1667000000000003E-02,4.2260271434644593E-02,5.6552963053119965E-02,5.0039367926457176E-02,7.0240316664536340E-02,5.0957738176581613E-02,5.3718581030852169E-02,4.3343336736914317E-02,2.6666746466163824E-02,2.8983007283452048E-02,4.3888089644498224E-02,4.5046942484610407E-02,4.7444831129555283E-02
6.2500000000000000E-02,4.7594914784418532E-02,6.1939374703115856E-02,5.5250687964526125E-02,7.5705406488646529E-02,5.6192746213827097E-02,5.9355230214516642E-02,4.8530556045808380E-02,3.1667141203650349E-02,3.3924011167670708E-02,4.9395976770819194E-02,5.0388905080390019E-02,5.3051891018666336E-02
