time,HEAD_PW-1,HEAD_PMW-3,HEAD_PMW-10,HEAD_PMW-14,HEAD_PW-2,HEAD_PMW-9,HEAD_PZ-1,HEAD_PMW-4,HEAD_PMW-5,HEAD_OW24P,HEAD_OW23P,HEAD_OW17P
1.0416999999999999E-02,2.3534328365798652E-02,4.4288854684743695E-02,4.1809297024237441E-02,4.0496879282763062E-02,3.7970180446472407E-02,2.5362263618465958E-02,2.9722449550822642E-02,1.5106567902365134E-02,2.1036270888639158E-02,2.6541543301976087E-02,4.4082455954778395E-02,2.4477650633015192E-02
2.0833000000000001E-02,3.4099248399658791E-02,5.6228568777264523E-02,5.2968775280055114E-02,5.2253643555016778E-02,4.9132569143211582E-02,3.6453588849752229E-02,4.0530090197047744E-02,2.4125692865483363E-02,3.0650419214987665E-02,3.7007868682084576E-02,5.5021443502074073E-02,3.5073116524305906E-02
4.1667000000000003E-02,4.4225575653645398E-02,6.6172256902906332E-02,6.2899564735326208E-02,6.2463271053489734E-02,5.9084525001603078E-02,4.7662463572773851E-02,5.0149996225902084E-02,3.2545545965641930E-02,3.9586113699341868E-02,4.7314030697428351E-02,6.4783770143637939E-02,4.5472167972526643E-02
6.2500000000000000E-02,5.1858470099681427E-02,7.4267451464397685E-02,7.0638839988362401E-02,7.0315795997618141E-02,6.6820763418562024E-02,5.5517571154085364E-02,5.7745861832749462E-02,3.9995786496198241E-02,4.6993819258715486E-02,5.4846566305673014E-02,7.2647242306167190E-02,5.2980970395237241E-02
